Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
['Notification Release Varsity letter'],['filr'],"February 19th, 2019",9.10am,tue,na,"notification, required, action, delayed",Y,Y,['Sodium'],Y,office365,B
['URGENT'],['be you at office'],"February 14th, 2019",3.59Pm,thur,na,"urgent,",Y,Y,['atomic number 11'],Y,na,B
['Payment from'],['this be your information today'],"February 14th, 2019",7.45am,thur,URL Redacted,"payment,notice, ",na,na,"['Unspoilt Regards,']",na,na,B
['Sales Contract us post office: # 224906999'],['2 unexampled message'],"February 12th, 2019",9.32am,tue,review ,"sales, review",Y,Y,['thanks'],Y,na,B
['new beak from Ian'],['your bill is hither'],"February 12th, 2019",2.15pm,tue,invoice connect,"bill, ",Y,Y,['thank you'],Y,na,B
['Re: Defrayal Bill'],['delight check your'],"February 12th, 2019",2.17am EST,na,na,"invoice, payment",Y,Y,['Thank you'],Y,na,B
['KSU Violation'],"['email has constitute reposted, regulation']","February 9th, 2019",11.21am EST,na,URL Redacted,"reported, regulations, policies",Y,Y,['Sincerely yours'],Y,na,B
['We recieved your request'],['request to inactivate'],"January 29th, 2019",2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,Y,['atomic number 11'],Y,offcie 365,B
['URGENT REQUEST'],['Ar you available? No calls text only 9513072XXX'],1/9/20,na,na,na,Urgent,Y,"Chancellor
Berkeley University of California",['BEST esteem'], cchristberkeley.edu@gmail.com,na,NB
['Quick inquiry'],"[""I ' molarity in a get together and need aid getting some Amazon Natural endowment Cards""]",1/9/20,na,na,na,Quick,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,NB
['* * * * * * Component metre dwelling employment help ask * * * * * *'],['Hi RECIPIENT I am urgently seeking for a Clerical / Administrative Help to do work for me on campus at their own complimentary time while I am away on my work and earn basic wage $ 250 weekly. This be a flexible job that requires little to no prior experience. Let maine know you are interested and I will fill you in.'],10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",['Sincerely yours'],dvdmson @ gmail . Com,na,NB
['Ê vendor requital'],['Ar you around? I need to yield a vendor with the blucard.'],"12/27/18
 ",na,na,na,"gift card, meeting",Y,"University of California, Berkeley",['atomic number 11'],ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB
['Quick motion'],"[""I ' m in a meeting and pauperization supporter getting some Amazon Giving Bill of fare""]","12/27/18
 ",na,na,na,shared,Y,"University of California, Berkeley",['atomic number 11'],XXX.subdomain.berkeley.edu,na,
['ÊXXX has shared a document on Google Doc with you'],['XXX have invited you to view the following document:'],"5/3/2017
",na,na,Open in Docs,"invite, share",na,,['sodium'],ÊXXX@berkeley.edu,na,BCC
['Subject matter from human resource'],['Honey XXXXX @ berkeley. edu (yoke sends e - mail) An info document give been sent to you by the Human being Resource Section. Click here to Login to view the written document. Thank you!'],4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",['Thank you'],HR@berkeley.edu,na,NB
['Library Account'],"['Dear Student, Your access to your library account statement is expiring soon referable to inactivity. To continue to have access to the library services, you must reactivate your account. For this purpose, click the web address below or transcript and paste information technology into your world wide web browser. A successful login will activate your account and you will be redirected to your library profile. https: / / auth. berkeley. edu / calif. / login? service = https% 3a% 2f% If you are not able to login, please contact <Name Removed> at xxxxx @ berkeley. edu (link sends e - mail) for contiguous assistance.']",4/1/17,2:09 PM,Sat,plain url,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","['Truly,']",na,na,NB
['Your Dropbox File cabinet'],"[""Hello, You just receive a file through Dropbox Share Coating. Please click below and log in to view file. Aspect file Every time a friend installs Dropbox, we ' ll give both of you 1 gigabit of space for free! Need even more space? Upgrade your Dropbox and get unity TB (single, 000 GB) of space""]",1/30/17,na,Mon,view file,"file, dropbox",Y,The Dropbox Team,['Felicitous Dropboxing.'],sass@tamhsc.edu(link sends e-mail),Dropbox,B
['nanna'],"['Dear Substance abuser, This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to keep on to have access to this service. You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses thomas nelson page. hypertext transfer protocol: / bcourses. berkeley. edu / login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm / If you are not able bodied to login, delight contact Danielle Patel at dapatel @ berkeley. edu (link post e - mail) for immediate assistance.']",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","['Sincerely yours,']",dapatel@berkeley.edu,na,B
['Update Hepatic portal vein'],"['The Homo Resources / Payroll Department have got completed the final paystub changes for 2017 tax class. To view the changes to your paystub info and view / download your W - two forms (2014 - 2016 tax years ), go to: Adp Portal We hope you regain the changes to your paystub information useful and welcome any comments you crataegus oxycantha have.']",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"['Yours Truly,']",director.stics@boyaca.gov.co,na,NB
['FedEx Shipment Update'],"['Dear Customer, We could non deport your item. You keister review and print utter details of shipping duty on your monastic order. Thanks']",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,['Thanks'],xxxxxx@berkeley.edu,FedEx,B
['ÊImportant Announcement from Chancellor of the exchequer Saint nicholas B. Dirk'],"['Good Good morning Bishop berkeley Family line, Please read attach for an important annunciation from Chancellor Nicholas Atomic number 5. Dirks']",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","['Thanks,']",penweltm@miamioh.edu,na,B
['Email Account Rise'],"['Dear User, Someone else was trying to use your Berkeley ID to signalise into iCloud via a web browser. Date and Time: 28 October 2016, 1: thirty eight PM Browser: Firefox Operating System: Windows Positioning: Thailand If the information above looks familiar, you can disregard this email. If you have not recently and believe someone crataegus oxycantha be examine to admission your account, you should Tick Here <http: / / guck. gl / rk87KW >.']",Ê10/28/2016Ê,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"['Truly,']",Êitcsshelp@berkeley.edu,na,B
['Irregular Activeness'],"['From: BankOfAmerica Subject: Temporary Activity Escort: 10 / 20 / 2016 7: 27 AM We get detected irregular activeness on your account on the date 10 / 20 / 2016. For your protection, we have temporary limited your account. In order to regain full access to your account, you must verify this activity before you can keep utilize your account. We have station you an attachment, open it and follow the steps to verify your story. Once completed, please allow up to 48h to update. Copyright © 2016 BankOfAmerica, All rights reserve IrregularActivityFile. html']",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",['sodium'],na,na,B
['Messages comprise Locky malware'],"['Hello, Please sign the attached contract with our technical serve company for 2016 ð 2017. We would appreciate your prompt reaction.']",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"['King compliments,']",ÊCurtis.8271@brasiltelecom.net.br,na,B
['Content containing Locky malware'],"['Hi, The monthly fiscal statement is impound within the electronic mail. Please review it before processing.']",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B
['Vital Information'],"[""Hello, Ê Please relate to the full of life info I ' ve shared with you using Google Drive. Ê ClickÊhttps: / / world wide web. google. com / drive / docs / file0116Êand sign in to view details..""]","May 23, 2016Ê",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",['Respect'],na,na,B
['bCourses Phish Approach'],"[""Dear User, This message is to inform you that your memory access to bCourses will soon cash in one's chips. You will have to log in to your account to continue to have access to this service. You need to reactivate it just by logging in through the following URL. A a successful login will activate your bill, and you will be redirected to your bCourses page. http: / / bcourses. berkeley. cnea. gq / login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm / If you are not able to login, please contact Mary Patel at mpatel @ berkeley. edu (colligate sends e - mail) for straightaway assistance.""]",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",['Truly'],mpatel@berkeley.edu,na,B
['Your bill bear been Iimited untiI we hear from you'],"['your account stimulate be suspened, as an error was detected in your informations. The reason for the erroneousness is not sure, but for secuirty reason, we have suspended your explanation temporarily.']",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,['atomic number 11'],Acces@up.com,PayPal,NB
['RE: Bill from @ deliverance. org'],"['Howdy Everyone, At that place will be additional IT maintenance today between 10am Ð 11am. During this time, some information technology systems and applications used by the IRC globally english hawthorn be pretend, and you english hawthorn experience brief outages. Please upgrade your letter box (size to 20. 0GB ). by dawn IT SYSTEM AND MAINTENANCE.']",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,['sodium'],Ashley.Mathew@rescue.org,na,NB
['Final Admonisher You Must Update Your Apple Account Information!'],"[""Hello, We ' ve noticed that some of your account information appears to be missing or wrong, we need to verify your account information in order to continue use your Apple ID. Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >. Wondering why you got this email? When you don ' t on a regular basis update your Malus pumila gem state info, Apple will require you to sign in by following the link in a verification email and update your information. This is to help protect your identity and keep your account secure. Apple Support""]",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,['atomic number 11'],Appel@support.com,na,NB
['Help Desk \x89 ÛÜ Posting.'],['We detected strange informatics access on our date base reckoner system our security requires you to verify your account for secure security kindly Click Here and swear your account. \x89 ÛÜ Help Desk \x89 ÛÜ'],3/4/16,4:00 PM,na,Click Here ,"unknown, notice",Y,Help DeskÛÜ,['atomic number 11'],jjdoe@capousd.org,,NB
['Google Docs Download'],['You make a pending incoming download docs shared with you via Google docs'],2/22/2016Ê,5:45 AM,na,Secure Message,Download,na,na,['atomic number 11'],Google@Googledocss.com,Google Docs,BN
['2015 Watt - two statement'],"[""Atomic number 53 necessitate all our employee ' s reference copies of 2015 W - 2 reward and tax statement, i am working on a review and if you can work on the W2 ' s and have it sent to me as an attachment this morning that will follow glorious. Via email would be appropriate.""]","Feb 22, 2016Ê",8:17 AM,Mon,na,"Tax, attachment",Y,na,['Regard.'],President@ucop.edu,na,B
['Your access code has been disabled'],"[""Dear User Your Itunes - ID has been disabled. You ' ve place your account under the risk of termination by not keeping the right information. Please verify your account equally soon as potential. Ready to check? Click here to develop back your news report.""]",2/21/16,4:33 PM,,Click here,"disable account access, termination, ",Y,,"['Unfeignedly,']",no_reply@appsupport.com,na,NB
['Dear Email Exploiter'],"['Your password will croak in 2 day, Click Hither to re - alter your password immediately.']",2/9/16,5:38 PM,,Click here,"expire, password, immidiately",Y,"
IT- Help Desk","['Thank you,']",jdoe@seedschoolmd.org,na,NB
['Assist Desk / Password Update'],['Password will choke in 2 days ÊClick HereÊTo Validate E - ring armour'],2/2/16,5:01 AM,,Click here,"expire, validate",Y,IT-Service Help Desk,"['Thank you,']",John.doe@medford.k12.or.us,na,NB
['Phonograph recording Update'],['This is an urgent request to update your use disc at the U. Second Department of British labour party. Update'], 1/18/2016 ,1:57 PM,,UpdateÊ,"update, urgent,employment",Y,"U.S Dept. of Labor
Frances Perkins Building, 
200 Constitution Ave., NW, 
Washington, DC 20210",['Thank you'],records@dol.gov,Department of Labor,NB
['Crucial Update'],"['As we prepare to start the 2016 Tax fill season, we have undergone slight changes in the filling process to make filling for your refund easier and to preclude unnecessary delays. Part of the changes let in updating our database with your information. Please ensure to cautiously discharge this substantiation to avoid hitches in processing your repayment. We have sent you an attachment, open it and follow the gradation to verify your visibility.']",Ê1/15/2016,2:58 PM,,na,"update, IRS, TAX",Y,IRS Service,['atomic number 11'],irs@services.com,na,NB
['DHL EXPRESS written document'],"['Your parcel (shipping document) arrived at the military post position. Here is your Ship Document / Invoice and copy of DHL reception for your tracking which includes the bill of lading and DHL tracking number, the new Import / Export policy supplied by DHL Express. Please kindly check the attached to reassert consequently if your address is correct, before we submit to our outlet office for dispatch to your destination.']",1/15/2016Ê,6:47 AM,,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,['atomic number 11'],office@korloycompany.ro,na,NB
['IMPORTANT taxation RETURN DOCUMENT AVAILABLE'],"['Dear: Account Owner, Our records argue that you are enrolled in the University of California paperless W2 Program. As a result, you perform not receive a newspaper publisher W2 but instead receive e - mail notification that your online W2 (i. e. "" paperless W2 "") is prepared and quick for viewing. __ Your W2 is ready for viewing under Employee Ego Service. Logon at the following link: Click Here to Logon If you have trouble logging in to Employee Self Service at the link above, delight contact your Payroll Department for support. If you would like to un - enroll in the Paperless W2 Program, please logon to Employee Ego Inspection and repair at the link above and go to the W2 Delivery Choice webpage and follow the instructions.']",1/6/16,5:53:32 AM,,Click Here ,"TAX, W2, important",na,,['sodium'],ÊESSW2@berkeley.edu,na,NB
['Ra: Ten - PHP - Originate - Book: 1336: NPS. php'],"[""Dear Dr. <recipient ' s name removed >; I recently take your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to utilize in my current enquiry: i - http: / / auth. berkeley. eduh. in / <link removed> 2 - http: / / www. sciencedirect. com / science / article / pii / S1644966515000825 (link be outside) Thanks for you Cooperation in Advance. John Doe Department of Civil and Environmental Engineering University of Alberta Telephone set: (XXX) XXX - XXXX - - 21878cacb2d3a784678d12d61f1136d7 - -""]",1/2/16,Ê09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,['Thanks for you Cooperation in Advance.'],john.doe@ulberta.ca,na,NB
