Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
['Subject matter from human resources'],['Beloved XXXXX @ berkeley. edu (link institutionalize e - post) An information papers have been sent to you by the Human Resources Department. Mouse click hither to Login to catch the document. Thank you!'],4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",['Thank you'],HR@berkeley.edu,na,NB,subject matter from human resources beloved xxxxx  berkeley edu link institutionalize e  post an information papers have been sent to you by the human resources department mouse click hither to login to catch the document thank you
['Library Account'],"['Dear Student, Your access to your library report is expiring soon due to inactivity. To continue to have access to the library services, you must reactivate your account. For this purpose, cluck the web address below or copy and paste it into your web browser. A successful login will activate your account and you will be redirected to your library profile. https: / / auth. berkeley. edu / cas / login? service = https% 3a% 2f% If you are not able to login, please contact <Name Removed> at xxxxx @ berkeley. edu (link sends e - postal service) for immediate assistance.']",4/1/17,2:09 PM,Sat,plain url,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","['Truly,']",na,na,NB,library account dear student your access to your library report is expiring soon due to inactivity to continue to have access to the library services you must reactivate your account for this purpose cluck the web address below or copy and paste it into your web browser a successful login will activate your account and you will be redirected to your library profile    auth berkeley edu  cas  login service   a f if you are not able to login please contact  at xxxxx  berkeley edu link sends e  postal service for immediate assistance
['Your Dropbox File'],"[""Hello, You just received a indian file through Dropbox Share Application. Please click below and logarithm in to view file. Position file Every time a friend installs Dropbox, we ' ll give both of you 1 GB of space for free! Need even more blank space? Raise your Dropbox and acquire unity TB (1, 000 GB) of blank space""]",1/30/17,na,Mon,view file,"file, dropbox",Y,The Dropbox Team,['Felicitous Dropboxing.'],sass@tamhsc.edu(link sends e-mail),Dropbox,B,your dropbox file hello you just received a indian file through dropbox share application please click below and logarithm in to view file position file every time a friend installs dropbox we  ll give both of you  gb of space for free need even more blank space raise your dropbox and acquire unity tb   gb of blank space
['naan'],"['Dearest User, This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to sustain access to this divine service. You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page. http: / bcourses. berkeley. edu / login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm / If you are not able to login, delight link Danielle Patel at dapatel @ berkeley. edu (yoke air e - mail) for immediate assistance.']",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","['Truly,']",dapatel@berkeley.edu,na,B,naan dearest user this message is to inform you that your access to bcourses will soon expire you will have to login to your account to continue to sustain access to this divine service you need to reactivate it just by logging in through the following url a successful login will activate your account and you will be redirected to your bcourses page   bcourses berkeley edu  logindzvfirgidokifizotklpfyhapngfoohbfowfmblbelbmcbynmkrdqjsmjmmbphotsfjxlqgzijdxguwemfbynexdtjsmbnypdcemhm  if you are not able to login delight link danielle patel at dapatel  berkeley edu yoke air e  mail for immediate assistance
['Update Portal vein'],"['The Human Resources / Payroll Department deliver fill in the last paystub changes for 2017 tax year. To see the changes to your paystub information and position / download your W - 2 forms (2014 - 2016 taxation years ), run to: Adp Portal We hope you find the changes to your paystub information useful and welcome any comments you english hawthorn have.']",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"['Yours Truly,']",director.stics@boyaca.gov.co,na,NB,update portal vein the human resources  payroll department deliver fill in the last paystub changes for  tax year to see the changes to your paystub information and position  download your w   forms    taxation years  run to adp portal we hope you find the changes to your paystub information useful and welcome any comments you english hawthorn have
['FedEx Shipment Update'],"['Dear Customer, We could non save your item. You can reexamine and print accomplished details of send duty on your order. Thanks']",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,['Thanks'],xxxxxx@berkeley.edu,FedEx,B,fedex shipment update dear customer we could non save your item you can reexamine and print accomplished details of send duty on your order thanks
['ÊImportant Announcement from Chancellor St. nicholas B. Dirk'],"['Good Morning Berkeley Family, Please read impound for an important announcement from Prime minister Nicholas Barn. Dirk']",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","['Thanks,']",penweltm@miamioh.edu,na,B,important announcement from chancellor st nicholas b dirk good morning berkeley family please read impound for an important announcement from prime minister nicholas barn dirk
['Electronic mail Account Upgrade'],"['Dear User, Someone else was try to use your George berkeley ID to sign into iCloud via a web browser. Date and Time: 28 October 2016, 1: 38 PM Browser: Firefox Operating Organization: Windows Location: Kingdom of thailand If the information above looks familiar, you rear end disregard this email. If you have not recently and believe someone may be trying to access code your story, you should Click Hither <http: / / goo. gl / rk87KW >.']",Ê10/28/2016Ê,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"['Truly,']",Êitcsshelp@berkeley.edu,na,B,electronic mail account upgrade dear user someone else was try to use your george berkeley id to sign into icloud via a web browser date and time  october    pm browser firefox operating organization windows location kingdom of thailand if the information above looks familiar you rear end disregard this email if you have not recently and believe someone may be trying to access code your story you should click hither 
['Unpredictable Activity'],"['From: BankOfAmerica Subject: Irregular Activeness Date: 10 / 20 / 2016 7: 27 AM We have detected unpredictable activity on your account on the date 10 / 20 / 2016. For your protection, we have temporary limited your account. In order to regain wide access to your account, you must verify this activity before you terminate continue using your account. We have sent you an attachment, open information technology and follow the steps to affirm your account. Once completed, please allow up to 48h to update. Copyright © 2016 BankOfAmerica, All rights reserve IrregularActivityFile. html']",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",['sodium'],na,na,B,unpredictable activity from bankofamerica subject irregular activeness date        am we have detected unpredictable activity on your account on the date      for your protection we have temporary limited your account in order to regain wide access to your account you must verify this activity before you terminate continue using your account we have sent you an attachment open information technology and follow the steps to affirm your account once completed please allow up to h to update copyright   bankofamerica all rights reserve irregularactivityfile html
['Messages containing Locky malware'],"['Hello, Please contract the attached contract with our expert armed service society for 2016 ð 2017. We would appreciate your straightaway response.']",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B,messages containing locky malware hello please contract the attached contract with our expert armed service society for    we would appreciate your straightaway response
['Messages comprise Locky malware'],"['Hi, The monthly financial assertion is attach within the email. Please critique information technology before processing.']",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"['King compliments,']",ÊCurtis.8271@brasiltelecom.net.br,na,B,messages comprise locky malware hi the monthly financial assertion is attach within the email please critique information technology before processing
['Life sustaining Info'],"[""Hello, Ê Please refer to the vital info One ' ve share with you using Google Drive. Ê ClickÊhttps: / / www. google. com / drive / docs / file0116Êand star sign in to consider detail..""]","May 23, 2016Ê",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",['Respect'],na,na,B,life sustaining info hello  please refer to the vital info one  ve share with you using google drive  click   www google com  drive  docs  fileand star sign in to consider detail
['bCourses Phish Attack'],"['Dear User, This message is to inform you that your access to bCourses leave before long expire. You will have to log in to your account to continue to have admittance to this service. You want to reactivate it just by logging in through the following URL. A a successful login will activate your report, and you will be redirected to your bCourses page. http: / / bcourses. berkeley. cnea. gq / login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm / If you are not able to login, please contact Madonna Patel at mpatel @ berkeley. edu (link sends e - mail) for immediate assistance.']",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",['Truly'],mpatel@berkeley.edu,na,B,bcourses phish attack dear user this message is to inform you that your access to bcourses leave before long expire you will have to log in to your account to continue to have admittance to this service you want to reactivate it just by logging in through the following url a a successful login will activate your report and you will be redirected to your bcourses page    bcourses berkeley cnea gq  logindzblbokifizotklqgzijdxvfirgiddcemhlpfyhapngfoohbfowfmguwemfbynexdtjsmbnypelbmcbynmkrdqjsmjmmbphotsfjxm  if you are not able to login please contact madonna patel at mpatel  berkeley edu link sends e  mail for immediate assistance
['Your account has been Iimited untiI we hear from you'],"['your account feature been suspened, as an error was detected in your informations. The cause for the error be not sure, simply for secuirty reasons, we deliver suspended your story temporarily.']",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,['atomic number 11'],Acces@up.com,PayPal,NB,your account has been iimited untii we hear from you your account feature been suspened as an error was detected in your informations the cause for the error be not sure simply for secuirty reasons we deliver suspended your story temporarily
['ra: Notice from @ rescue. org'],"['Hello Everyone, There will constitute additional IT care today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally crataegus laevigata be affected, and you english hawthorn experience brief outage. Please upgrade your mailboxes (size of it to 20. 0GB ). by clicking IT SYSTEM AND alimony.']",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,['atomic number 11'],Ashley.Mathew@rescue.org,na,NB,ra notice from  rescue org hello everyone there will constitute additional it care today between am  am during this time some it systems and applications used by the irc globally crataegus laevigata be affected and you english hawthorn experience brief outage please upgrade your mailboxes size of it to  gb  by clicking it system and alimony
['Final Reminder You Must Update Your Malus pumila Account Information!'],"[""Hello, We ' ve noticed that some of your account information appears to be missing or incorrect, we need to avow your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the link below. Sign in using your Malus pumila idaho to start the process, Verify Now >. Wondering why you got this email? When you don ' t regularly update your Apple ID entropy, Apple will require you to sign in by following the link in a verification email and update your information. This is to help protect your identity and keep your account secure. Apple Support""]",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,['sodium'],Appel@support.com,na,NB,final reminder you must update your malus pumila account information hello we  ve noticed that some of your account information appears to be missing or incorrect we need to avow your account information in order to continue using your apple id please verify your account information by clicking on the link below sign in using your malus pumila idaho to start the process verify now  wondering why you got this email when you don  t regularly update your apple id entropy apple will require you to sign in by following the link in a verification email and update your information this is to help protect your identity and keep your account secure apple support
